# 東雲カイ#a50 停滞ゲージのリセット（目標達成＝goals_doneで下がる）
T+01:04:23   停滞 100 -> 7  （直前に目標を達成＝リセット）
T+01:27:23   停滞 97 -> 15  （直前に目標を達成＝リセット）
T+01:37:23   停滞 70 -> 0  （直前に目標を達成＝リセット）
T+01:43:23   停滞 67 -> 13  （直前に目標を達成＝リセット）
T+01:54:24   停滞 85 -> 15  （直前に目標を達成＝リセット）
T+02:12:23   停滞 95 -> 0  （直前に目標を達成＝リセット）
T+02:20:23   停滞 70 -> 0  （直前に目標を達成＝リセット）
T+02:42:23   停滞 97 -> 11  （直前に目標を達成＝リセット）
T+02:50:23   停滞 79 -> 15  （直前に目標を達成＝リセット）
T+02:53:23   停滞 41 -> 7  （直前に目標を達成＝リセット）
T+02:57:23   停滞 61 -> 7  （直前に目標を達成＝リセット）
T+03:19:24   停滞 99 -> 13  （直前に目標を達成＝リセット）
T+03:33:24   停滞 96 -> 13  （直前に目標を達成＝リセット）
T+03:57:23   停滞 100 -> 2  （直前に目標を達成＝リセット）
T+04:10:23   停滞 95 -> 15  （直前に目標を達成＝リセット）
T+04:20:23   停滞 87 -> 20  （直前に目標を達成＝リセット）
T+04:35:23   停滞 97 -> 22  （直前に目標を達成＝リセット）
T+04:45:23   停滞 85 -> 15  （直前に目標を達成＝リセット）
T+04:49:24   停滞 65 -> 4  （直前に目標を達成＝リセット）
T+04:57:23   停滞 80 -> 11  （直前に目標を達成＝リセット）
T+05:00:23   停滞 68 -> 15  （直前に目標を達成＝リセット）
T+05:13:23   停滞 98 -> 7  （直前に目標を達成＝リセット）

# リセット回数: 22

# 停滞が95以上だった区間
  T+00:49:23  〜 T+01:04:23 
  T+01:24:23  〜 T+01:27:23 
  T+02:11:24  〜 T+02:12:23 
  T+02:37:24  〜 T+02:42:23 
  T+03:12:23  〜 T+03:19:24 
  T+03:31:23  〜 T+03:33:24 
  T+03:44:24  〜 T+03:57:23 
  T+04:09:23  〜 T+04:10:23 
  T+04:32:23  〜 T+04:35:23 
  T+05:09:23  〜 T+05:13:23 
  T+05:24:23  〜 (最後まで)

# CSV(グラフ用): T+,停滞,退屈,居住,過密,孤独
T+02:25:23 ,73,29,1,0,0
T+02:26:24 ,77,38,1,0,0
T+02:27:23 ,80,45,1,0,0
T+02:28:24 ,82,51,1,0,0
T+02:29:23 ,84,57,1,0,0
T+02:30:23 ,86,62,16,0,0
T+02:31:24 ,88,66,17,0,0
T+02:32:23 ,90,70,17,0,0
T+02:33:23 ,91,73,17,0,0
T+02:34:24 ,92,76,17,0,0
T+02:35:23 ,93,79,17,0,0
T+02:36:23 ,94,81,17,0,0
T+02:37:24 ,95,83,17,0,0
T+02:38:23 ,95,85,6,0,0
T+02:39:24 ,96,87,1,0,0
T+02:40:23 ,97,88,1,0,0
T+02:41:24 ,97,90,1,0,0
T+02:42:23 ,11,10,1,0,0
T+02:43:23 ,27,24,1,0,0
T+02:44:23 ,36,33,1,0,0
T+02:45:23 ,45,41,1,0,0
T+02:46:24 ,49,45,1,0,0
T+02:47:23 ,61,56,1,0,0
T+02:48:24 ,74,2,1,0,0
T+02:49:23 ,79,0,1,0,0
T+02:50:23 ,15,13,17,11,0
T+02:51:24 ,30,27,17,48,0
T+02:52:23 ,41,37,17,56,0
T+02:53:23 ,7,6,17,10,0
T+02:54:23 ,43,39,17,0,0
T+02:55:23 ,54,49,17,21,0
T+02:56:24 ,61,57,17,21,0
T+02:57:23 ,7,6,17,33,0
T+02:58:24 ,22,20,4,44,0
T+02:59:23 ,36,33,1,46,0
T+03:00:23 ,47,43,1,47,0
T+03:01:23 ,57,8,1,46,0
T+03:02:23 ,64,21,1,45,0
T+03:03:24 ,69,32,1,48,0
T+03:04:23 ,75,43,1,52,0
T+03:05:23 ,79,51,1,48,0
T+03:06:23 ,83,59,1,50,0
T+03:07:23 ,86,66,1,53,0
T+03:08:24 ,88,71,1,48,0
T+03:09:23 ,91,76,1,49,0
T+03:10:23 ,92,79,17,48,0
T+03:11:23 ,93,82,17,42,0
T+03:12:23 ,95,87,17,43,0
T+03:13:23 ,96,88,17,46,0
T+03:14:23 ,97,90,17,49,0
T+03:15:23 ,97,92,82,48,0
T+03:16:24 ,98,93,84,48,0
T+03:17:23 ,98,94,84,50,0
T+03:18:23 ,99,95,35,36,0
T+03:19:24 ,13,11,23,52,0
T+03:20:23 ,39,36,23,54,0
T+03:21:23 ,60,2,23,46,0
T+03:22:23 ,74,33,23,44,0
T+03:23:23 ,77,41,23,48,0
T+03:24:24 ,80,47,23,49,0
T+03:25:23 ,83,11,23,41,0
T+03:26:23 ,86,24,23,26,0
T+03:27:23 ,88,34,23,31,0
T+03:28:23 ,90,43,23,36,0
T+03:29:24 ,92,53,23,42,0
T+03:30:23 ,94,62,83,44,0
T+03:31:23 ,95,69,26,0,0
T+03:32:24 ,96,74,19,0,0
T+03:33:24 ,13,11,19,0,0
T+03:34:23 ,30,27,19,0,0
T+03:35:23 ,42,8,19,0,0
T+03:36:24 ,53,23,19,0,0
T+03:37:23 ,62,11,19,0,0
T+03:38:24 ,69,26,4,0,0
T+03:39:23 ,74,37,1,0,0
T+03:40:23 ,79,47,1,0,0
T+03:41:24 ,84,58,1,0,0
T+03:42:23 ,88,69,1,0,0
T+03:43:23 ,93,80,1,0,0
T+03:44:24 ,96,30,1,0,0
T+03:45:23 ,96,42,1,0,0
T+03:46:24 ,97,0,1,0,0
T+03:47:23 ,98,0,1,0,0
T+03:48:23 ,98,0,1,0,0
T+03:49:24 ,98,13,1,0,0
T+03:50:23 ,99,24,16,0,0
T+03:51:23 ,99,8,17,0,0
T+03:52:23 ,99,23,17,0,0
T+03:53:24 ,99,38,17,0,0
T+03:54:23 ,99,50,17,0,0
T+03:55:23 ,100,61,17,0,0
T+03:56:23 ,100,72,17,0,0
T+03:57:23 ,2,2,17,0,0
T+03:58:23 ,42,27,1,0,0
T+03:59:24 ,54,4,1,0,0
T+04:00:23 ,62,20,1,0,0
T+04:01:23 ,69,6,1,0,0
T+04:02:24 ,75,23,1,0,0
T+04:03:23 ,80,8,1,0,0
T+04:04:23 ,84,24,1,0,0
T+04:05:24 ,87,39,1,0,0
T+04:06:23 ,89,11,1,0,0
T+04:07:23 ,91,10,1,0,0
T+04:08:24 ,94,37,1,0,0
T+04:09:23 ,95,0,1,0,0
T+04:10:23 ,15,13,17,0,0
T+04:11:24 ,27,24,17,0,0
T+04:12:23 ,41,15,17,0,0
T+04:13:23 ,52,29,17,0,0
T+04:14:23 ,60,39,17,0,0
T+04:15:24 ,66,48,17,0,0
T+04:16:23 ,72,56,17,0,0
T+04:17:23 ,78,8,17,0,0
T+04:18:24 ,83,29,2,0,0
T+04:19:23 ,87,18,1,0,0
T+04:20:23 ,20,0,1,0,0
T+04:21:24 ,36,18,1,0,0
T+04:22:23 ,52,18,1,0,0
T+04:23:23 ,62,8,1,0,0
T+04:24:24 ,69,23,1,0,0
T+04:25:23 ,75,36,1,0,0
T+04:26:23 ,81,49,1,0,0
T+04:27:23 ,84,57,1,0,0
T+04:28:23 ,87,64,1,0,0
T+04:29:24 ,90,71,1,0,0
T+04:30:23 ,92,77,17,0,0
T+04:31:23 ,94,82,17,0,0
T+04:32:23 ,95,84,17,0,0
T+04:33:24 ,96,87,17,0,0
T+04:34:23 ,97,90,17,0,0
T+04:35:23 ,22,11,17,0,0
T+04:36:24 ,24,0,17,0,0
T+04:37:23 ,13,8,17,0,0
T+04:38:23 ,27,6,4,0,0
T+04:39:24 ,32,20,1,0,0
T+04:40:23 ,52,41,1,0,0
T+04:41:23 ,63,53,1,0,0
T+04:42:23 ,79,71,1,0,0
T+04:43:23 ,82,4,1,0,0
T+04:44:24 ,85,20,1,0,0
T+04:45:23 ,15,10,1,0,0
T+04:46:23 ,36,13,1,0,0
T+04:47:24 ,50,30,1,0,0
T+04:48:23 ,65,48,1,0,0
T+04:49:24 ,4,4,1,0,0
T+04:50:23 ,24,21,17,0,0
T+04:51:23 ,38,10,17,0,0
T+04:52:23 ,49,24,17,0,0
T+04:53:24 ,58,11,17,0,0
T+04:54:23 ,69,32,17,0,0
T+04:55:23 ,75,44,17,0,0
T+04:56:23 ,80,0,17,0,0
T+04:57:23 ,11,6,17,0,0
T+04:58:23 ,45,38,1,0,0
T+04:59:22 ,68,62,1,0,0
T+05:00:23 ,15,4,1,0,0
T+05:01:23 ,32,0,1,0,0
T+05:02:24 ,60,37,1,0,0
T+05:03:23 ,65,44,1,0,0
T+05:04:24 ,71,53,1,0,0
T+05:05:23 ,82,69,1,0,0
T+05:06:23 ,86,75,1,0,0
T+05:07:24 ,89,81,1,0,0
T+05:08:23 ,94,88,1,0,0
T+05:09:23 ,96,91,1,0,0
T+05:10:24 ,97,10,17,0,0
T+05:11:24 ,98,11,17,0,0
T+05:12:23 ,98,23,17,0,0
T+05:13:23 ,7,6,17,0,0
T+05:14:24 ,27,24,17,0,0
T+05:15:23 ,39,36,17,0,0
T+05:16:23 ,50,6,17,0,0
T+05:17:25 ,59,20,17,0,0
T+05:18:24 ,66,32,4,0,0
T+05:19:23 ,72,43,1,0,0
T+05:20:23 ,81,59,1,0,0
T+05:21:22 ,86,70,1,0,0
T+05:22:23 ,90,77,1,0,0
T+05:23:23 ,93,83,1,0,0
T+05:24:23 ,95,0,1,0,0
T+05:25:23 ,95,8,1,0,0
T+05:26:24 ,95,8,1,0,0
T+05:27:23 ,96,15,1,0,0
T+05:28:23 ,96,15,1,0,0
T+05:29:24 ,97,32,1,0,0
T+05:30:23 ,97,6,17,0,0
T+05:31:25 ,98,18,17,0,0
T+05:32:23 ,99,48,17,0,0
T+05:33:24 ,99,62,17,0,0
T+05:34:23 ,99,78,17,0,0
T+05:35:25 ,100,83,17,0,0
T+05:36:24 ,100,4,17,0,0
T+05:37:23 ,100,15,17,0,0
T+05:38:23 ,100,24,6,0,0
T+05:39:24 ,100,33,1,0,0
T+05:40:23 ,100,10,1,0,0
T+05:41:23 ,100,21,1,0,0
T+05:42:24 ,100,30,1,0,0
T+05:43:23 ,100,4,43,0,0
T+05:44:23 ,100,15,2,0,0
T+05:45:24 ,100,24,1,0,0
T+05:46:24 ,100,33,1,0,0
T+05:47:23 ,100,41,1,0,0
T+05:48:24 ,100,47,1,0,0
T+05:49:23 ,100,53,1,0,0
T+05:50:23 ,100,10,16,0,0
T+05:51:24 ,100,20,17,0,0
T+05:52:23 ,100,29,17,0,0
T+05:53:23 ,100,37,17,0,0
T+05:54:23 ,100,44,17,0,0
T+05:55:23 ,100,50,17,0,0
T+05:56:23 ,100,2,17,0,0
T+05:57:23 ,100,13,17,0,0
T+05:58:24 ,100,29,6,0,0
T+05:59:23 ,100,38,1,0,0
T+06:00:23 ,100,45,1,0,0
T+06:01:23 ,100,51,1,0,0
T+06:02:24 ,100,0,1,0,0
T+06:03:23 ,100,15,1,0,0
T+06:04:23 ,100,13,1,0,0
T+06:05:24 ,100,26,1,0,0
T+06:06:23 ,100,34,1,0,0
T+06:07:23 ,100,6,1,0,0
T+06:08:24 ,100,8,1,0,0
T+06:09:23 ,100,21,1,0,0
T+06:10:23 ,100,30,16,0,0
T+06:11:24 ,100,38,17,0,0
T+06:12:23 ,100,4,17,0,0
T+06:13:23 ,100,13,17,0,0
T+06:14:24 ,100,27,17,0,0
T+06:15:28 ,100,33,17,0,0
T+06:16:44 ,100,33,17,0,0
T+06:17:28 ,100,33,17,0,0
T+06:18:29 ,100,33,17,0,0
T+06:19:31 ,100,33,17,0,0
T+06:20:59 ,100,33,17,0,0
T+06:21:56 ,100,33,17,0,0
T+06:22:48 ,100,33,17,0,0
T+06:23:41 ,100,33,17,0,0
T+06:24:32 ,100,33,17,0,0
T+06:25:24 ,100,33,17,0,0
T+06:26:26 ,100,33,17,0,0
T+06:27:24 ,100,33,17,0,0
T+06:28:37 ,100,33,17,0,0
T+06:29:41 ,100,33,17,0,0
T+06:30:24 ,100,33,17,0,0
T+06:31:26 ,100,33,17,0,0
T+06:32:23 ,100,33,17,0,0
T+06:33:23 ,100,33,17,0,0
T+06:34:27 ,100,33,17,0,0
T+06:35:46 ,100,33,17,0,0
T+06:36:50 ,100,33,17,0,0
T+06:37:30 ,100,33,17,0,0
T+06:38:35 ,100,33,17,0,0
T+06:39:40 ,100,33,17,0,0
T+06:40:33 ,100,33,17,0,0
T+06:41:24 ,100,33,17,0,0
T+06:42:40 ,100,33,17,0,0
T+06:43:24 ,100,33,17,0,0
T+06:44:26 ,100,33,17,0,0
T+06:45:29 ,100,33,17,0,0
T+06:46:24 ,100,33,17,0,0
T+06:47:29 ,100,33,17,0,0
T+06:48:24 ,100,33,17,0,0
T+06:49:37 ,100,33,17,0,0
T+06:50:41 ,100,33,17,0,0
T+06:51:24 ,100,33,17,0,0
T+06:52:23 ,100,33,17,0,0
T+06:53:35 ,100,33,17,0,0
T+06:54:47 ,100,33,17,0,0
T+06:55:51 ,100,33,17,0,0
T+06:56:32 ,100,33,17,0,0
T+06:57:36 ,100,33,17,0,0
T+06:58:47 ,100,33,17,0,0
T+06:59:24 ,100,33,17,0,0
T+07:00:33 ,100,33,17,0,0
T+07:01:42 ,100,33,17,0,0
T+07:02:24 ,100,33,17,0,0
T+07:03:26 ,100,33,17,0,0
T+07:04:31 ,100,33,17,0,0
T+07:05:57 ,100,33,17,0,0
T+07:06:26 ,100,33,17,0,0
T+07:07:56 ,100,33,17,0,0
T+07:08:37 ,100,33,17,0,0
T+07:09:41 ,100,33,17,0,0
T+07:10:24 ,100,33,17,0,0
T+07:11:25 ,100,33,17,0,0
T+07:13:09 ,100,33,17,0,0
