# 東雲カイ#a50 の不満9軸の推移（1分1点）
# T+ | 空腹 睡眠 安全 居住 退屈 停滞 不公平 孤独 過密 | pos
T+06:25:24 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:26:26 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:27:24 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:28:37 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:29:41 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:30:24 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:31:26 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:32:23 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:33:23 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:34:27 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:35:46 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:36:50 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:37:30 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:38:35 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:39:40 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:40:33 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:41:24 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:42:40 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:43:24 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:44:26 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:45:29 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:46:24 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:47:29 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:48:24 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:49:37 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:50:41 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:51:24 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:52:23 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:53:35 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:54:47 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:55:51 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:56:32 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:57:36 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:58:47 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+06:59:24 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+07:00:33 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+07:01:42 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+07:02:24 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+07:03:26 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+07:04:31 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+07:05:57 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+07:06:26 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+07:07:56 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+07:08:37 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+07:09:41 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+07:10:24 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+07:11:25 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
T+07:13:09 |   9  69  37  17  33 100   0   0   0 | [-1890, 61, 1187]
