# 東雲カイ#a50 の不満9軸の推移（1分1点）
# T+ | 空腹 睡眠 安全 居住 退屈 停滞 不公平 孤独 過密 | pos
T+02:00:23 |   1   1   1   1  41  45   0   0  54 | [767, 61, 189]
T+02:01:23 |   1   1   1   1  11  53   0   0  58 | [770, 60, 192]
T+02:02:23 |   1   1   1   1  26  61   0   0  63 | [767, 60, 201]
T+02:03:23 |   1   1   1   1  36  67   0   0  64 | [770, 60, 192]
T+02:04:24 |   1   1   1   1  13  73   0   0  61 | [767, 60, 198]
T+02:05:23 |   1   1   1   1  24  77   0   0  59 | [770, 60, 193]
T+02:06:24 |   1   1   1   1  37  81   0   0  66 | [770, 60, 192]
T+02:07:23 |   1   1   1   1  45  84   0   0  66 | [767, 59, 191]
T+02:08:24 |   1   1   1   9  54  87   0   0  69 | [770, 60, 192]
T+02:09:23 |   1   1   1   3  66  91   0   0  31 | [820, 65, 161]
T+02:10:23 |   1  68   4  17  10  92   0   0   0 | [813, 69, 168]
T+02:11:24 |   1  69   8  17  41  95   0   0   0 | [787, 65, 178]
T+02:12:23 |   4  69  34  17   0   0   0   0   0 | [825, 66, 156]
T+02:13:23 |   4  69   2  17  10  11   0   0   0 | [798, 66, 172]
T+02:14:24 |   4  69   1  17  24  27   0   0   0 | [805, 67, 165]
T+02:15:23 |   4  69  24  17  37  41   0   0   0 | [851, 64, 151]
T+02:16:23 |   9  69  27  17  46  50   0   0   0 | [762, 62, 112]
T+02:17:23 |   9  69  25  17  53  58   0   0   0 | [797, 62, 151]
T+02:18:23 |   9  15   1   4  59  64   0   0   0 | [787, 66, 192]
T+02:19:24 |   9   1   1   1  65  70   0   0   0 | [797, 67, 188]
T+02:20:23 |  13   1  25   1   0   0   0   0   0 | [747, 62, 154]
T+02:21:23 |  13   1   1   1  11  13   0   0   0 | [747, 62, 154]
T+02:22:24 |  13   1   1   1  21  24   0   0   0 | [747, 62, 154]
T+02:23:23 |  13   1   1   1  34  54   0   0   0 | [791, 64, 165]
T+02:24:24 |  18   1   1   1  10  64   0   0   0 | [844, 66, 200]
T+02:25:23 |  18   1   1   1  29  73   0   0   0 | [794, 62, 131]
T+02:26:24 |  18   1   1   1  38  77   0   0   0 | [750, 62, -159]
T+02:27:23 |  18   1   1   1  45  80   0   0   0 | [730, 62, -309]
T+02:28:24 |  18   1   1   1  51  82   0   0   0 | [733, 62, -314]
T+02:29:23 |  18   1   1   1  57  84   0   0   0 | [727, 62, -315]
T+02:30:23 |  18  61  17  16  62  86   0   0   0 | [730, 62, -309]
T+02:31:24 |  18  69  31  17  66  88   0   0   0 | [733, 62, -315]
T+02:32:23 |  18  69  31  17  70  90   0   0   0 | [727, 62, -315]
T+02:33:23 |  18  69  31  17  73  91   0   0   0 | [730, 62, -309]
T+02:34:24 |  18  69  31  17  76  92   0   0   0 | [733, 62, -315]
T+02:35:23 |  18  69  31  17  79  93   0   0   0 | [727, 62, -315]
T+02:36:23 |  18  69  31  17  81  94   0   0   0 | [730, 62, -309]
T+02:37:24 |  18  69  31  17  83  95   0   0   0 | [733, 62, -315]
T+02:38:23 |  18  25   6   6  85  95   0   0   0 | [727, 62, -315]
T+02:39:24 |  18   1   1   1  87  96   0   0   0 | [730, 62, -309]
T+02:40:23 |  18   1   1   1  88  97   0   0   0 | [733, 62, -315]
T+02:41:24 |  18   1   1   1  90  97   0   0   0 | [718, 62, -60]
T+02:42:23 |  18   1   1   1  10  11   0   0   0 | [729, 62, 40]
T+02:43:23 |  18   1   1   1  24  27   0   0   0 | [740, 61, 51]
T+02:44:23 |  18   1   1   1  33  36   0   0   0 | [765, 61, 76]
T+02:45:23 |  18   1   1   1  41  45   0   0   0 | [786, 62, 104]
T+02:46:24 |  18   1   1   1  45  49   0   0   0 | [795, 62, 149]
T+02:47:23 |  18   1   1   1  56  61   0   0   0 | [789, 63, 142]
T+02:48:24 |  23   1   3   1   2  74   0   0   0 | [828, 54, 160]
T+02:49:23 |  23   1   5   1   0  79   0   0   0 | [832, 53, 161]
T+02:50:23 |  23  67   1  17  13  15   0   0  11 | [768, 61, 194]
T+02:51:24 |  23  69   1  17  27  30   0   0  48 | [769, 60, 193]
T+02:52:23 |  23  69   1  17  37  41   0   0  56 | [774, 60, 193]
T+02:53:23 |  28  69   1  17   6   7   0   0  10 | [803, 67, 176]
T+02:54:23 |  28  69   1  17  39  43   0   0   0 | [791, 62, 142]
T+02:55:23 |  32  69   1  17  49  54   0   0  21 | [781, 63, 201]
T+02:56:24 |  33  69   1  17  57  61   0   0  21 | [796, 65, 182]
T+02:57:23 |  33  69   1  17   6   7   0   0  33 | [767, 60, 202]
T+02:58:24 |  33  15   1   4  20  22   0   0  44 | [774, 60, 193]
T+02:59:23 |  33   1   1   1  33  36   0   0  46 | [773, 60, 193]
T+03:00:23 |  37   1   1   1  43  47   0   0  47 | [773, 60, 193]
T+03:01:23 |  37   1   1   1   8  57   0   0  46 | [767, 59, 192]
T+03:02:23 |  37   1   1   1  21  64   0   0  45 | [769, 60, 193]
T+03:03:24 |  37   1   1   1  32  69   0   0  48 | [766, 59, 192]
T+03:04:23 |  37   1   1   1  43  75   0   0  52 | [765, 60, 193]
T+03:05:23 |  42   1   1   1  51  79   0   0  48 | [770, 60, 193]
T+03:06:23 |  42   1   1   1  59  83   0   0  50 | [774, 60, 193]
