# name events 5954  kinds={'coin': 249, 'hear': 2977, 'say': 2728}

# label | 命名者(初) | 初出T+ | 聞いた人数 | 伝達回数(say) | グリッド
南側一帯 | 小柳ハル#dea | T+00:01:00 | 41 | 299 | 11,2,11,3,11,4,12,2,12,3
この作業エリア | 榎本ソラ#3f3 | T+00:03:58 | 36 | 187 | 11,2,11,3,12,2,12,3
南側の採石場 | 谷口アル#a65 | T+00:04:49 | 32 | 165 | 11,2,11,3,12,2,12,3
南西の採石場 | 小柳ジン#080 | T+00:00:36 | 31 | 195 | 11,2,11,3,12,2,12,3
西側一帯 | 西森ミオ#781 | T+00:09:04 | 31 | 143 | 11,2,11,3,12,2,12,3
西側エリア | 小柳ナギ#9e9 | T+00:24:23 | 30 | 341 | 10,2,10,3,11,2,11,3,11,4,12,2,12,3
西の露天掘り場 | 真砂コウ#124 | T+00:21:36 | 29 | 229 | 11,2,11,3,12,2,12,3
南側の石切り場 | 谷口アル#a65 | T+00:28:24 | 28 | 137 | 11,2,11,3,12,2,12,3
拠点周辺 | 大川カイ#40f | T+00:07:02 | 24 | 77 | 11,2,11,3,12,2,12,3
採石場 | 小柳イオ#e51 | T+00:04:39 | 23 | 46 | 11,2,11,3,11,4,12,2,12,3
広場の北側 | 大川イオ#5c4 | T+00:18:31 | 23 | 106 | 11,2,11,3,12,2,12,3
北東採石場 | 大川タケル#f91 | T+01:02:35 | 21 | 67 | 11,2,11,3,12,2,12,3
西の未踏地 | 風間の子#38f | T+03:00:24 | 20 | 97 | 11,13,11,2,11,3,11,4,12,2,12,3
西の森 | 榎本アキ#01c | T+01:47:19 | 19 | 77 | 11,2,11,3,12,3,13,3
村の東側エリア | 桜井ボブ#482 | T+02:27:34 | 19 | 57 | 11,2,11,3,12,3
北東の採石場 | 真砂アル#ef2 | T+00:26:22 | 15 | 26 | 11,2,11,3,12,3
近くの森 | 月島レン#153 | T+00:08:49 | 14 | 24 | 11,2,11,3
東の採石場 | 川原フウ#f33 | T+00:12:59 | 14 | 29 | 11,2,11,3,12,2
拠点の北側 | 石川ソラ#b94 | T+00:20:16 | 14 | 27 | 11,2,11,3,12,3
北側一帯 | 東雲カイ#a50 | T+02:03:13 | 14 | 36 | 11,2,11,3,12,3
北側の未踏地 | 東雲カイ#a50 | T+02:07:54 | 14 | 31 | 11,2,11,3,12,3
北側の拠点 | 東雲カイ#a50 | T+03:07:29 | 12 | 21 | 11,2,11,3,12,3
南の未踏の地 | 小柳ジン#080 | T+01:23:44 | 11 | 19 | 11,2,11,3,12,2,12,3
北側 | 東雲カイ#a50 | T+02:05:14 | 11 | 23 | 11,2,11,3,12,3
南側採石場 | 小柳ナギ#9e9 | T+01:24:04 | 10 | 23 | 11,2,11,3,12,3
南の未踏地 | 小柳ジン#080 | T+02:06:26 | 10 | 15 | 11,2,11,3,12,3
村の外縁 | 大川オト#72a | T+02:43:01 | 10 | 31 | 11,3,12,3
この一帯 | 真砂アル#ef2 | T+00:28:31 | 9 | 12 | 11,2,11,3,12,2,12,3
広場 | 小柳イオ#e51 | T+00:00:54 | 8 | 12 | 11,3,12,2,12,3
南側の森 | 榎本ハル#0c8 | T+00:28:39 | 7 | 17 | 11,2
南の奥地 | 小柳ナギ#9e9 | T+01:24:32 | 7 | 15 | 12,2,12,3
南方の未踏地 | 大川タケル#e00 | T+02:07:09 | 7 | 20 | 11,2,11,3,12,3
北の採石場 | 桜井ボブ#482 | T+00:20:26 | 6 | 8 | 11,2,11,3,12,3
拠点西側の研究エリア | 西森ミオ#781 | T+00:29:58 | 5 | 8 | 11,2,12,2,12,3
防衛ライン | 大川オト#72a | T+00:41:26 | 5 | 7 | 12,2
南東エリア | 榎本ソラ#3f3 | T+00:45:54 | 5 | 9 | 12,3
西の森林 | 大川オト#72a | T+02:34:01 | 5 | 10 | 11,3,12,3
南側の未踏地 | 大川タケル#e00 | T+03:26:29 | 5 | 7 | 11,3,12,3
西の木立 | 風間エマ#b5b | T+04:02:26 | 5 | 13 | 11,2,11,3
北東 | 風間タケル#ab9 | T+04:38:57 | 5 | 10 | 11,2,12,2,12,3
北側の採石場 | 風間ダイ#f7c | T+00:05:42 | 4 | 7 | 11,2,11,3
北西エリア | 西森オト#ff3 | T+00:06:36 | 4 | 3 | 11,2,12,2,12,3
北の未踏地 | 小柳イオ#e51 | T+02:44:11 | 4 | 5 | 11,3,12,3
北東エリア | 風間の子#38f | T+05:06:36 | 4 | 5 | 12,2,12,3
採石場周辺 | 大川カイ#40f | T+00:32:27 | 3 | 4 | 12,2
西の採石場 | 石川ナギ#6c2 | T+02:03:56 | 3 | 3 | 11,3,12,2,12,3
南の石切り場 | 林ソラ#017 | T+02:05:12 | 3 | 4 | 11,3,12,3
北側未踏地 | 林ソラ#017 | T+02:07:49 | 3 | 3 | 11,3
北東の未踏地 | 林ソラ#017 | T+02:09:23 | 3 | 5 | 11,3,12,3
東側の石切り場 | 南田ボブ#4f3 | T+00:09:04 | 2 | 2 | 11,2
私の拠点 | 真砂コウ#124 | T+00:18:46 | 2 | 2 | 11,3
拠点西側 | 西森ミオ#781 | T+00:27:03 | 2 | 4 | 11,2,11,3
拠点の近所 | 月島レン#153 | T+00:49:16 | 2 | 2 | 11,3
拠点 | 桜井ボブ#482 | T+01:55:40 | 2 | 2 | 11,2,11,3
南の森 | 榎本ハル#0c8 | T+00:29:43 | 1 | 0 | 12,3
南側エリア | 風間エマ#b5b | T+00:49:29 | 1 | 0 | 13,2
東方の未踏地 | 真砂コウ#124 | T+01:50:51 | 1 | 0 | 11,3
南西の未踏地 | 西森ミオ#781 | T+02:07:56 | 1 | 1 | 12,3


# 全name eventの時系列(coin と say のみ・hearは省略)
T+00:00:36 | coin | 小柳ジン#080 | 南西の採石場 | grid=11,3 | frm=
T+00:00:54 | coin | 小柳イオ#e51 | 広場 | grid=12,2 | frm=
T+00:00:56 | say | 西森オト#ff3 | 広場 | grid=12,2 | frm=
T+00:00:59 | say | 小柳イオ#e51 | 広場 | grid=12,2 | frm=
T+00:01:00 | coin | 小柳ハル#dea | 南側一帯 | grid=11,3 | frm=
T+00:01:02 | say | 桜井ボブ#482 | 南側一帯 | grid=11,3 | frm=
T+00:01:05 | say | 小柳ハル#dea | 南側一帯 | grid=11,3 | frm=
T+00:01:07 | say | 桜井ボブ#482 | 南側一帯 | grid=11,3 | frm=
T+00:01:21 | coin | 小柳イオ#e51 | 南西の採石場 | grid=11,2 | frm=
T+00:01:23 | say | 林ソラ#017 | 南西の採石場 | grid=11,2 | frm=
T+00:03:43 | coin | 石川エマ#0c5 | 南西の採石場 | grid=11,2 | frm=
T+00:03:46 | say | 風間ダイ#f7c | 南西の採石場 | grid=11,3 | frm=
T+00:03:48 | say | 石川エマ#0c5 | 南西の採石場 | grid=11,2 | frm=
T+00:03:58 | coin | 榎本ソラ#3f3 | この作業エリア | grid=11,3 | frm=
T+00:04:01 | say | 川原コウ#cb6 | この作業エリア | grid=11,3 | frm=
T+00:04:03 | say | 榎本ソラ#3f3 | この作業エリア | grid=11,3 | frm=
T+00:04:05 | say | 川原コウ#cb6 | この作業エリア | grid=11,3 | frm=
T+00:04:34 | say | 小柳イオ#e51 | 広場 | grid=12,2 | frm=
T+00:04:37 | say | 東雲ソラ#358 | 広場 | grid=12,2 | frm=
T+00:04:39 | coin | 小柳イオ#e51 | 採石場 | grid=12,2 | frm=
T+00:04:49 | coin | 谷口アル#a65 | 南側の採石場 | grid=11,3 | frm=
T+00:04:51 | say | 大川オト#72a | 南側の採石場 | grid=11,3 | frm=
T+00:04:54 | say | 谷口アル#a65 | 南側の採石場 | grid=11,3 | frm=
T+00:05:07 | say | 東雲ソラ#358 | 広場 | grid=12,2 | frm=
T+00:05:09 | say | 小柳ハル#dea | 南側一帯 | grid=11,3 | frm=
T+00:05:12 | coin | 東雲ソラ#358 | 南側一帯 | grid=11,3 | frm=
T+00:05:14 | say | 小柳ハル#dea | 南側一帯 | grid=11,3 | frm=
T+00:05:16 | say | 谷口アル#a65 | 南側の採石場 | grid=11,3 | frm=
T+00:05:19 | say | 風間エマ#b5b | 南側の採石場 | grid=11,3 | frm=
T+00:05:21 | say | 谷口アル#a65 | 南側の採石場 | grid=11,3 | frm=
T+00:05:23 | say | 風間エマ#b5b | 南側の採石場 | grid=11,3 | frm=
T+00:05:42 | coin | 風間ダイ#f7c | 北側の採石場 | grid=11,2 | frm=
T+00:05:43 | say | 谷口アル#a65 | 南側の採石場 | grid=11,3 | frm=
T+00:05:45 | say | 大川イオ#5c4 | 北側の採石場 | grid=11,2 | frm=
T+00:05:46 | say | 大川カイ#40f | 南側の採石場 | grid=11,3 | frm=
T+00:05:48 | say | 谷口アル#a65 | 南側の採石場 | grid=11,3 | frm=
T+00:06:04 | say | 東雲ソラ#358 | 南側一帯 | grid=11,3 | frm=
T+00:06:06 | say | 柏木ダイ#8f4 | 南側一帯 | grid=11,3 | frm=
T+00:06:08 | say | 東雲ソラ#358 | 南側一帯 | grid=11,3 | frm=
T+00:06:36 | coin | 西森オト#ff3 | 北西エリア | grid=12,3 | frm=
T+00:06:38 | say | 西森ミオ#781 | 北西エリア | grid=12,3 | frm=
T+00:06:49 | say | 石川エマ#0c5 | 南西の採石場 | grid=11,2 | frm=
T+00:06:52 | coin | 大川イオ#5c4 | 南側の採石場 | grid=11,2 | frm=
T+00:06:54 | say | 石川エマ#0c5 | 南西の採石場 | grid=11,2 | frm=
T+00:07:02 | coin | 大川カイ#40f | 拠点周辺 | grid=11,2 | frm=
T+00:07:04 | say | 南田ボブ#4f3 | 拠点周辺 | grid=11,3 | frm=
T+00:07:06 | say | 大川カイ#40f | 拠点周辺 | grid=11,2 | frm=
T+00:07:08 | say | 南田ボブ#4f3 | 拠点周辺 | grid=11,3 | frm=
T+00:07:12 | coin | 榎本ソラ#3f3 | 拠点周辺 | grid=12,3 | frm=
T+00:07:17 | say | 大川オト#72a | 南側の採石場 | grid=11,3 | frm=
T+00:07:18 | say | 柏木ダイ#8f4 | 南側一帯 | grid=11,3 | frm=
T+00:07:19 | say | 石川エマ#0c5 | 南西の採石場 | grid=11,2 | frm=
T+00:07:20 | say | 森野ミオ#e1a | 南側一帯 | grid=11,3 | frm=
T+00:07:21 | say | 大川オト#72a | 南側の採石場 | grid=11,3 | frm=
T+00:07:22 | say | 柏木ダイ#8f4 | 南側一帯 | grid=11,3 | frm=
T+00:07:23 | say | 石川エマ#0c5 | 南側の採石場 | grid=11,3 | frm=
T+00:07:25 | say | 森野ミオ#e1a | 南側一帯 | grid=11,3 | frm=
T+00:07:34 | coin | 東雲ソラ#358 | 採石場 | grid=12,2 | frm=
T+00:07:36 | say | 真砂コウ#124 | 採石場 | grid=12,2 | frm=
T+00:07:41 | say | 榎本ソラ#3f3 | この作業エリア | grid=11,3 | frm=
T+00:07:43 | coin | 風間エマ#b5b | この作業エリア | grid=11,3 | frm=
T+00:07:46 | say | 榎本ソラ#3f3 | この作業エリア | grid=11,3 | frm=
T+00:07:57 | say | 風間ダイ#f7c | 北側の採石場 | grid=11,2 | frm=
T+00:07:59 | say | 川原コウ#cb6 | 北側の採石場 | grid=11,2 | frm=
T+00:08:02 | say | 風間ダイ#f7c | 北側の採石場 | grid=11,2 | frm=
T+00:08:04 | say | 川原コウ#cb6 | 北側の採石場 | grid=11,2 | frm=
T+00:08:07 | say | 小柳ハル#dea | 南側一帯 | grid=11,3 | frm=
T+00:08:09 | say | 風間エマ#b5b | この作業エリア | grid=11,3 | frm=
T+00:08:11 | say | 小柳ハル#dea | 南側一帯 | grid=11,3 | frm=
T+00:08:13 | say | 風間エマ#b5b | この作業エリア | grid=11,3 | frm=
T+00:08:27 | say | 西森オト#ff3 | 広場 | grid=12,2 | frm=
T+00:08:30 | say | 小柳ジン#080 | 広場 | grid=12,2 | frm=
T+00:08:33 | say | 大川オト#72a | 南側の採石場 | grid=11,3 | frm=
T+00:08:35 | say | 風間エマ#b5b | この作業エリア | grid=11,3 | frm=
T+00:08:37 | say | 大川オト#72a | 南側の採石場 | grid=11,3 | frm=
T+00:08:39 | say | 風間エマ#b5b | この作業エリア | grid=11,3 | frm=
T+00:08:40 | say | 小柳ハル#dea | 南側一帯 | grid=11,3 | frm=
T+00:08:43 | say | 谷口ジン#e39 | 南側一帯 | grid=11,3 | frm=
T+00:08:45 | say | 小柳ハル#dea | 南側一帯 | grid=11,3 | frm=
T+00:08:49 | coin | 月島レン#153 | 近くの森 | grid=11,3 | frm=
T+00:08:52 | say | 石川ナギ#6c2 | 近くの森 | grid=11,3 | frm=
T+00:08:54 | say | 月島レン#153 | 近くの森 | grid=11,3 | frm=
T+00:08:57 | say | 小柳イオ#e51 | 南西の採石場 | grid=11,2 | frm=
T+00:08:59 | say | 南田ボブ#4f3 | 南西の採石場 | grid=11,2 | frm=
T+00:09:02 | say | 小柳イオ#e51 | 南西の採石場 | grid=11,2 | frm=
T+00:09:04 | coin | 西森ミオ#781 | 西側一帯 | grid=11,2 | frm=
T+00:09:04 | coin | 南田ボブ#4f3 | 東側の石切り場 | grid=11,2 | frm=
T+00:09:31 | coin | 大川カイ#40f | 南側の採石場 | grid=11,2 | frm=
T+00:09:33 | say | 南田ボブ#4f3 | 東側の石切り場 | grid=11,2 | frm=
T+00:09:35 | say | 大川カイ#40f | 南側の採石場 | grid=11,2 | frm=
T+00:09:38 | say | 南田ボブ#4f3 | 東側の石切り場 | grid=11,2 | frm=
T+00:09:49 | say | 小柳ジン#080 | 南西の採石場 | grid=11,3 | frm=
T+00:09:51 | say | 石川ナギ#6c2 | 南西の採石場 | grid=12,3 | frm=
T+00:09:56 | say | 小柳ジン#080 | 南西の採石場 | grid=11,3 | frm=
T+00:10:29 | say | 小柳イオ#e51 | 南西の採石場 | grid=11,2 | frm=
T+00:10:31 | say | 森野ミオ#e1a | 南西の採石場 | grid=11,2 | frm=
T+00:10:32 | say | 東雲ソラ#358 | 西側一帯 | grid=11,2 | frm=
T+00:10:34 | say | 小柳イオ#e51 | 南西の採石場 | grid=11,2 | frm=
T+00:10:34 | say | 月島レン#153 | 西側一帯 | grid=11,2 | frm=
T+00:10:36 | say | 東雲ソラ#358 | 西側一帯 | grid=11,2 | frm=
T+00:10:39 | say | 月島レン#153 | 西側一帯 | grid=11,2 | frm=
T+00:10:41 | say | 小柳ジン#080 | 広場 | grid=12,2 | frm=
T+00:10:43 | say | 榎本ソラ#3f3 | 広場 | grid=12,2 | frm=
T+00:10:45 | say | 小柳ジン#080 | 広場 | grid=12,2 | frm=
T+00:11:14 | say | 柏木ダイ#8f4 | 南側一帯 | grid=11,3 | frm=
T+00:11:16 | say | 浜田イオ#796 | 南側一帯 | grid=11,3 | frm=
T+00:11:17 | say | 大川カイ#40f | 南側の採石場 | grid=11,3 | frm=
T+00:11:18 | say | 柏木ダイ#8f4 | 南側一帯 | grid=11,3 | frm=
T+00:11:19 | say | 谷口ジン#e39 | 南側一帯 | grid=11,3 | frm=
T+00:11:21 | say | 浜田イオ#796 | 南側一帯 | grid=11,3 | frm=
T+00:11:22 | say | 大川カイ#40f | 南側の採石場 | grid=11,3 | frm=
T+00:11:23 | say | 石川ナギ#6c2 | 近くの森 | grid=11,3 | frm=
T+00:11:37 | coin | 石川ソラ#b94 | 拠点周辺 | grid=12,2 | frm=
T+00:11:39 | say | 風間エマ#b5b | 拠点周辺 | grid=11,2 | frm=
T+00:11:41 | coin | 石川ソラ#b94 | 拠点周辺 | grid=11,2 | frm=
T+00:11:49 | say | 小柳イオ#e51 | 南西の採石場 | grid=11,2 | frm=
T+00:11:51 | say | 林ソラ#017 | 南西の採石場 | grid=11,2 | frm=
T+00:11:53 | say | 小柳イオ#e51 | 南西の採石場 | grid=11,2 | frm=
T+00:11:55 | say | 林ソラ#017 | 南西の採石場 | grid=11,2 | frm=
T+00:12:02 | say | 大川カイ#40f | 南側の採石場 | grid=11,3 | frm=
T+00:12:04 | say | 浜田イオ#796 | 南側一帯 | grid=11,3 | frm=
T+00:12:06 | say | 大川カイ#40f | 南側の採石場 | grid=11,3 | frm=
T+00:12:08 | say | 浜田イオ#796 | 南側一帯 | grid=11,3 | frm=
T+00:12:22 | say | 月島レン#153 | 近くの森 | grid=11,3 | frm=
T+00:12:24 | say | 西森ミオ#781 | 近くの森 | grid=11,3 | frm=
T+00:12:26 | say | 月島レン#153 | 近くの森 | grid=11,3 | frm=
T+00:12:31 | coin | 小柳イオ#e51 | 南西の採石場 | grid=12,2 | frm=
T+00:12:35 | say | 小柳イオ#e51 | 南西の採石場 | grid=12,2 | frm=
T+00:12:47 | coin | 浜田イオ#796 | 南側一帯 | grid=11,2 | frm=
T+00:12:49 | say | 西森ミオ#781 | 西側一帯 | grid=11,2 | frm=
T+00:12:51 | say | 浜田イオ#796 | 南側一帯 | grid=11,2 | frm=
T+00:12:52 | say | 月島レン#153 | 近くの森 | grid=11,3 | frm=
T+00:12:57 | say | 月島レン#153 | 近くの森 | grid=11,3 | frm=
T+00:12:59 | coin | 川原フウ#f33 | 東の採石場 | grid=11,3 | frm=
T+00:13:32 | say | 大川カイ#40f | 南側の採石場 | grid=11,3 | frm=
T+00:13:34 | say | 大川イオ#5c4 | 南側の採石場 | grid=11,3 | frm=
T+00:13:37 | say | 大川カイ#40f | 南側の採石場 | grid=11,3 | frm=
T+00:13:39 | say | 大川イオ#5c4 | 南側の採石場 | grid=11,3 | frm=
T+00:13:57 | say | 石川ソラ#b94 | 拠点周辺 | grid=11,2 | frm=
T+00:13:59 | say | 大川カイ#40f | 南側の採石場 | grid=11,3 | frm=
T+00:14:01 | coin | 石川ソラ#b94 | 拠点周辺 | grid=11,3 | frm=
T+00:14:03 | say | 大川カイ#40f | 南側の採石場 | grid=11,3 | frm=
T+00:14:22 | say | 東雲ソラ#358 | 南側一帯 | grid=11,3 | frm=
T+00:14:24 | say | 大川イオ#5c4 | 南側の採石場 | grid=11,3 | frm=
T+00:14:27 | say | 東雲ソラ#358 | 南側一帯 | grid=11,3 | frm=
T+00:14:29 | coin | 大川イオ#5c4 | 南側一帯 | grid=11,3 | frm=
T+00:14:33 | say | 小柳イオ#e51 | 南西の採石場 | grid=12,2 | frm=
T+00:14:35 | say | 南田ボブ#4f3 | 南西の採石場 | grid=12,2 | frm=
T+00:14:38 | say | 小柳イオ#e51 | 南西の採石場 | grid=12,2 | frm=
T+00:14:41 | say | 南田ボブ#4f3 | 南西の採石場 | grid=12,2 | frm=
T+00:14:45 | say | 森野ミオ#e1a | 南西の採石場 | grid=11,2 | frm=
T+00:15:14 | say | 小柳ハル#dea | 南側一帯 | grid=11,3 | frm=
T+00:15:16 | say | 小柳イオ#e51 | 南側一帯 | grid=11,3 | frm=
T+00:15:19 | say | 小柳ハル#dea | 南側一帯 | grid=11,3 | frm=
T+00:15:20 | coin | 大川イオ#5c4 | 南側の採石場 | grid=12,2 | frm=
T+00:15:22 | say | 月島レン#153 | 南側の採石場 | grid=12,2 | frm=
T+00:15:25 | say | 大川イオ#5c4 | 南側の採石場 | grid=12,2 | frm=
T+00:15:27 | say | 月島レン#153 | 南側の採石場 | grid=12,2 | frm=
T+00:15:31 | say | 東雲ソラ#358 | 南側一帯 | grid=11,3 | frm=
T+00:15:33 | say | 谷口アル#a65 | 南側の採石場 | grid=11,3 | frm=
T+00:15:40 | say | 森野ミオ#e1a | 南側一帯 | grid=11,3 | frm=
T+00:15:41 | say | 大川オト#72a | 南側の採石場 | grid=11,3 | frm=
T+00:15:42 | say | 谷口ジン#e39 | 南側一帯 | grid=11,3 | frm=
T+00:15:43 | say | 小柳ジン#080 | 南側の採石場 | grid=12,3 | frm=
T+00:15:44 | say | 森野ミオ#e1a | 南側一帯 | grid=11,3 | frm=
T+00:15:45 | say | 大川オト#72a | 南側の採石場 | grid=11,3 | frm=
T+00:15:48 | say | 小柳ジン#080 | 南側の採石場 | grid=12,3 | frm=
T+00:15:52 | coin | 柏木ダイ#8f4 | 南側一帯 | grid=12,2 | frm=
T+00:15:54 | say | 東雲エマ#e65 | 南側一帯 | grid=12,2 | frm=
T+00:15:56 | say | 柏木ダイ#8f4 | 南側一帯 | grid=12,2 | frm=
T+00:15:58 | say | 東雲エマ#e65 | 南側一帯 | grid=12,2 | frm=
T+00:16:15 | say | 小柳ジン#080 | 南側の採石場 | grid=12,3 | frm=
T+00:16:18 | say | 大川イオ#5c4 | 南側の採石場 | grid=12,3 | frm=
T+00:16:22 | say | 東雲エマ#e65 | 南側一帯 | grid=12,2 | frm=
T+00:16:24 | say | 石川エマ#0c5 | 南側一帯 | grid=12,2 | frm=
T+00:16:47 | say | 大川オト#72a | 南側の採石場 | grid=11,3 | frm=
T+00:16:49 | say | 小柳イオ#e51 | 南側一帯 | grid=11,3 | frm=
T+00:16:51 | say | 大川オト#72a | 南側の採石場 | grid=11,3 | frm=
T+00:16:55 | say | 東雲ソラ#358 | 南側一帯 | grid=11,3 | frm=
T+00:16:57 | say | 川原コウ#cb6 | この作業エリア | grid=11,3 | frm=
T+00:17:01 | say | 川原コウ#cb6 | この作業エリア | grid=11,3 | frm=
T+00:17:22 | say | 柏木ダイ#8f4 | 南側一帯 | grid=11,3 | frm=
T+00:17:24 | say | 東雲ソラ#358 | 南側一帯 | grid=11,3 | frm=
T+00:17:26 | say | 柏木ダイ#8f4 | 南側一帯 | grid=11,3 | frm=
T+00:17:28 | say | 南田ボブ#4f3 | 拠点周辺 | grid=11,3 | frm=
T+00:17:28 | say | 東雲ソラ#358 | 南側一帯 | grid=11,3 | frm=
T+00:17:30 | say | 小柳イオ#e51 | 南側一帯 | grid=11,3 | frm=
T+00:17:33 | say | 南田ボブ#4f3 | 拠点周辺 | grid=11,3 | frm=
T+00:17:41 | say | 森野ミオ#e1a | 南側一帯 | grid=11,3 | frm=
T+00:17:44 | say | 林ソラ#017 | 南側一帯 | grid=11,3 | frm=
T+00:17:48 | say | 林ソラ#017 | 南側一帯 | grid=11,3 | frm=
T+00:17:52 | say | 大川イオ#5c4 | 南側の採石場 | grid=12,3 | frm=
T+00:17:54 | say | 南田ボブ#4f3 | 南側の採石場 | grid=12,3 | frm=
T+00:17:56 | say | 大川イオ#5c4 | 南側の採石場 | grid=12,3 | frm=
T+00:17:59 | say | 南田ボブ#4f3 | 南側の採石場 | grid=12,3 | frm=
T+00:18:27 | say | 大川イオ#5c4 | 南側の採石場 | grid=12,3 | frm=
T+00:18:29 | say | 小柳ジン#080 | 広場 | grid=12,2 | frm=
T+00:18:31 | coin | 大川イオ#5c4 | 広場の北側 | grid=12,3 | frm=
T+00:18:46 | coin | 真砂コウ#124 | 私の拠点 | grid=11,3 | frm=
T+00:18:48 | say | 川原コウ#cb6 | この作業エリア | grid=11,3 | frm=
T+00:18:51 | say | 真砂コウ#124 | 私の拠点 | grid=11,3 | frm=
T+00:18:53 | say | 川原コウ#cb6 | この作業エリア | grid=11,3 | frm=
T+00:18:57 | say | 榎本ソラ#3f3 | この作業エリア | grid=11,3 | frm=
T+00:19:00 | coin | 大川オト#72a | この作業エリア | grid=11,3 | frm=
T+00:19:01 | say | 川原フウ#f33 | 東の採石場 | grid=11,3 | frm=
T+00:19:04 | say | 小柳ハル#dea | 南側一帯 | grid=11,3 | frm=
T+00:19:04 | say | 大川オト#72a | この作業エリア | grid=11,3 | frm=
T+00:19:06 | say | 川原フウ#f33 | 東の採石場 | grid=11,3 | frm=
T+00:19:07 | say | 柏木ダイ#8f4 | 南側一帯 | grid=11,3 | frm=
T+00:19:09 | say | 小柳ハル#dea | 南側一帯 | grid=11,3 | frm=
T+00:19:10 | coin | 浜田イオ#796 | 南側一帯 | grid=12,3 | frm=
T+00:19:12 | say | 柏木ダイ#8f4 | 南側一帯 | grid=11,3 | frm=
T+00:19:14 | say | 浜田イオ#796 | 南側一帯 | grid=12,3 | frm=
T+00:19:16 | say | 風間エマ#b5b | この作業エリア | grid=11,3 | frm=
T+00:19:20 | coin | 小柳ジン#080 | 広場の北側 | grid=12,2 | frm=
T+00:19:22 | coin | 西森ミオ#781 | 広場の北側 | grid=12,3 | frm=
T+00:19:23 | say | 桜井ボブ#482 | 南側一帯 | grid=11,3 | frm=
T+00:19:25 | say | 大川イオ#5c4 | 広場の北側 | grid=12,3 | frm=
T+00:19:28 | say | 西森ミオ#781 | 広場の北側 | grid=12,3 | frm=
T+00:19:28 | say | 東雲エマ#e65 | 広場の北側 | grid=12,3 | frm=
T+00:19:32 | say | 石川ナギ#6c2 | 近くの森 | grid=11,3 | frm=
T+00:19:56 | say | 石川ソラ#b94 | 拠点周辺 | grid=11,3 | frm=
T+00:20:03 | say | 桜井ボブ#482 | 南側一帯 | grid=11,3 | frm=
T+00:20:16 | coin | 石川ソラ#b94 | 拠点の北側 | grid=11,3 | frm=
T+00:20:26 | coin | 桜井ボブ#482 | 北の採石場 | grid=11,2 | frm=
T+00:20:30 | coin | 浜田イオ#796 | 南側の採石場 | grid=11,3 | frm=
T+00:20:33 | say | 谷口ジン#e39 | 南側一帯 | grid=11,3 | frm=
T+00:20:35 | say | 柏木ダイ#8f4 | 南側一帯 | grid=11,3 | frm=
T+00:20:35 | say | 浜田イオ#796 | 南側の採石場 | grid=11,3 | frm=
T+00:20:37 | say | 榎本ソラ#3f3 | この作業エリア | grid=11,3 | frm=
T+00:20:37 | say | 谷口ジン#e39 | 南側一帯 | grid=11,3 | frm=
T+00:20:39 | say | 東雲ソラ#358 | 南西の採石場 | grid=12,3 | frm=
T+00:20:39 | say | 柏木ダイ#8f4 | 南側一帯 | grid=11,3 | frm=
T+00:20:41 | coin | 小柳ジン#080 | 広場の北側 | grid=12,3 | frm=
T+00:20:44 | say | 東雲ソラ#358 | 南西の採石場 | grid=12,3 | frm=
T+00:20:46 | say | 小柳ジン#080 | 広場の北側 | grid=12,3 | frm=
T+00:20:52 | say | 川原フウ#f33 | 東の採石場 | grid=11,3 | frm=
T+00:20:53 | say | 石川ソラ#b94 | 拠点の北側 | grid=11,3 | frm=
T+00:20:54 | say | 小柳ナギ#9e9 | 東の採石場 | grid=11,3 | frm=
T+00:20:57 | say | 川原フウ#f33 | 東の採石場 | grid=11,3 | frm=
T+00:20:57 | say | 石川ソラ#b94 | 拠点の北側 | grid=11,3 | frm=
T+00:21:00 | say | 小柳イオ#e51 | 南側一帯 | grid=11,3 | frm=
T+00:21:27 | coin | 柏木ダイ#8f4 | 南側一帯 | grid=12,3 | frm=
T+00:21:31 | say | 柏木ダイ#8f4 | 南側一帯 | grid=12,3 | frm=
T+00:21:32 | say | 真砂コウ#124 | 私の拠点 | grid=11,3 | frm=
T+00:21:33 | say | 浜田イオ#796 | 南側一帯 | grid=12,3 | frm=
T+00:21:34 | say | 風間エマ#b5b | この作業エリア | grid=11,3 | frm=
T+00:21:36 | coin | 真砂コウ#124 | 西の露天掘り場 | grid=11,3 | frm=
T+00:21:39 | say | 風間エマ#b5b | この作業エリア | grid=11,3 | frm=
T+00:21:43 | say | 大川イオ#5c4 | 南側の採石場 | grid=11,2 | frm=
T+00:21:44 | coin | 谷口ジン#e39 | 南側の採石場 | grid=11,2 | frm=
T+00:21:45 | say | 真砂アル#ef2 | 南側の採石場 | grid=11,2 | frm=
T+00:21:46 | say | 谷口アル#a65 | 南側の採石場 | grid=11,2 | frm=
T+00:21:47 | say | 大川イオ#5c4 | 南側の採石場 | grid=11,2 | frm=
T+00:21:48 | say | 谷口ジン#e39 | 南側の採石場 | grid=11,2 | frm=
T+00:21:52 | say | 西森ミオ#781 | 近くの森 | grid=11,3 | frm=
T+00:21:54 | say | 林ソラ#017 | 南側一帯 | grid=11,3 | frm=
T+00:21:56 | say | 西森ミオ#781 | 近くの森 | grid=11,3 | frm=
T+00:21:58 | say | 林ソラ#017 | 南側一帯 | grid=11,3 | frm=
