T+00:19:01 | 02:05:38 | 1784567138238 | EVENT | murder_witness | {"who": "西森ミオ#781", "dead": "川原コウ#cb6", "killer": "真砂コウ#124"}
T+00:19:01 | 02:05:38 | 1784567138238 | EVENT | death_witness | {"who": "西森ミオ#781", "dead": "川原コウ#cb6"}
T+00:39:40 | 02:26:17 | 1784568377781 | EVENT | murder_witness | {"who": "西森ミオ#781", "dead": "柏木ダイ#8f4", "killer": "月島レン#153"}
T+00:39:40 | 02:26:17 | 1784568377781 | EVENT | death_witness | {"who": "西森ミオ#781", "dead": "柏木ダイ#8f4"}
T+00:39:50 | 02:26:27 | 1784568387529 | EVENT | murder_witness | {"who": "西森ミオ#781", "dead": "石川ソラ#b94", "killer": "月島レン#153"}
T+00:39:50 | 02:26:27 | 1784568387529 | EVENT | death_witness | {"who": "西森ミオ#781", "dead": "石川ソラ#b94"}
T+00:40:10 | 02:26:47 | 1784568407364 | EVENT | marry | {"a": "西森ミオ#781", "b": "東雲ソラ#358"}
T+00:40:15 | 02:26:52 | 1784568412127 | EVENT | murder_witness | {"who": "西森ミオ#781", "dead": "榎本ハル#0c8", "killer": "真砂アル#ef2"}
T+00:40:15 | 02:26:52 | 1784568412127 | EVENT | death_witness | {"who": "西森ミオ#781", "dead": "榎本ハル#0c8"}
T+00:40:42 | 02:27:19 | 1784568439418 | EVENT | birth | {"father": "東雲ソラ#358", "mother": "西森ミオ#781", "child": "東雲の子#a50", "sex": "m"}
